param_C,param_gamma,param_q_lower,param_q_upper,val.PICP,val.MPIW,test.PICP,test.MPIW,param_gamma_str
64,3.0517578125e-05,0.025,0.975,0.9605263157894737,43.06355146256459,0.954248366013072,43.063624304912594,2^-15
64,6.103515625e-05,0.025,0.975,0.9605263157894737,43.06043545513524,0.954248366013072,43.06058113911085,2^-14
64,0.0001220703125,0.025,0.975,0.9605263157894737,43.054204020546635,0.954248366013072,43.054495382812114,2^-13
64,0.000244140625,0.025,0.975,0.9605263157894737,43.04174205715114,0.954248366013072,43.042324756631984,2^-12
64,0.00048828125,0.025,0.975,0.9671052631578947,43.01732789188139,0.954248366013072,43.01847780898857,2^-11
64,0.0009765625,0.025,0.975,0.9671052631578947,42.93582378176436,0.954248366013072,42.938108980148485,2^-10
64,0.001953125,0.025,0.975,0.9671052631578947,42.848586599337544,0.954248366013072,42.852434608840944,2^-9
64,0.00390625,0.025,0.975,0.9605263157894737,42.753648939546416,0.954248366013072,42.7595381172089,2^-8
64,0.0078125,0.025,0.975,0.9605263157894737,42.527273174696916,0.9477124183006536,42.53548681990545,2^-7
64,0.015625,0.025,0.975,0.9605263157894737,42.25196461650872,0.9477124183006536,42.26047118147748,2^-6
64,0.03125,0.025,0.975,0.9605263157894737,41.98700394409926,0.954248366013072,41.979405186387595,2^-5
64,0.0625,0.025,0.975,0.9605263157894737,41.40351943757119,0.9477124183006536,41.37431453168429,2^-4
64,0.125,0.025,0.975,0.9605263157894737,40.59424411666265,0.9411764705882353,40.533453757032404,2^-3
64,0.25,0.025,0.975,0.9605263157894737,40.03171526013571,0.9411764705882353,39.92621306932618,2^-2
64,0.5,0.025,0.975,0.9539473684210527,39.37613979396237,0.9477124183006536,39.223092962113924,2^-1
64,1.0,0.025,0.975,0.9473684210526315,38.94657720845526,0.9477124183006536,38.643966480123815,2^0
64,2.0,0.025,0.975,0.9407894736842105,38.57915675545683,0.9411764705882353,38.20484390226115,2^1
64,4.0,0.025,0.975,0.9407894736842105,37.69603890025977,0.9411764705882353,37.25237443190013,2^2
64,8.0,0.025,0.975,0.9473684210526315,37.09001470314554,0.9477124183006536,36.458744027393664,2^3
64,16.0,0.025,0.975,0.9276315789473685,36.48243604452291,0.9150326797385621,35.807348624764145,2^4
64,32.0,0.025,0.975,0.9276315789473685,36.14922749369208,0.9215686274509803,35.67793269634396,2^5
64,64.0,0.025,0.975,0.9078947368421053,34.76346124739902,0.9084967320261438,34.20880636929331,2^6
64,128.0,0.025,0.975,0.8947368421052632,33.67339115534724,0.8366013071895425,32.99572746731506,2^7
64,256.0,0.025,0.975,0.8157894736842105,31.30879737860109,0.8496732026143791,31.043170020882613,2^8
64,512.0,0.025,0.975,0.7894736842105263,29.003155273763372,0.7843137254901961,28.31368540050377,2^9
64,1024.0,0.025,0.975,0.6776315789473685,25.908853929423252,0.6601307189542484,24.69546241678776,2^10
64,2048.0,0.025,0.975,0.5855263157894737,21.99938899341625,0.5686274509803921,21.858304589394802,2^11
64,4096.0,0.025,0.975,0.5131578947368421,18.526298462097987,0.45751633986928103,18.46648840362588,2^12
64,8192.0,0.025,0.975,0.39473684210526316,15.226273951093901,0.3790849673202614,15.114443075972869,2^13
64,16384.0,0.025,0.975,0.27631578947368424,11.91530971309572,0.27450980392156865,11.624763862256442,2^14
64,32768.0,0.025,0.975,0.17763157894736842,8.435298185160228,0.1568627450980392,8.134762660133488,2^15
