param_C,param_gamma,param_q_lower,param_q_upper,val.PICP,val.MPIW,test.PICP,test.MPIW,param_gamma_str
64,3.0517578125e-05,0.025,0.975,0.9803921568627451,43.45564506920671,0.9804878048780488,43.45564723805305,2^-15
64,6.103515625e-05,0.025,0.975,0.9803921568627451,43.444623700294315,0.9804878048780488,43.44462803510249,2^-14
64,0.0001220703125,0.025,0.975,0.9803921568627451,43.42258207744803,0.9804878048780488,43.4225907347101,2^-13
64,0.000244140625,0.025,0.975,0.9803921568627451,43.38510085292885,0.9804878048780488,43.38528127508593,2^-12
64,0.00048828125,0.025,0.975,0.9803921568627451,43.37020235188132,0.9804878048780488,43.370563221187645,2^-11
64,0.0009765625,0.025,0.975,0.9803921568627451,43.340415131543175,0.9804878048780488,43.341136583340514,2^-10
64,0.001953125,0.025,0.975,0.9803921568627451,43.13871053239175,0.9804878048780488,43.14029275818358,2^-9
64,0.00390625,0.025,0.975,0.9754901960784313,42.86372442170586,0.975609756097561,42.86652709230874,2^-8
64,0.0078125,0.025,0.975,0.9803921568627451,42.67875352255899,0.975609756097561,42.68808694074135,2^-7
64,0.015625,0.025,0.975,0.9803921568627451,42.43656762622084,0.9658536585365853,42.46412072538447,2^-6
64,0.03125,0.025,0.975,0.9803921568627451,42.120980495203085,0.9658536585365853,42.18645521083351,2^-5
64,0.0625,0.025,0.975,d,41.80171909388019,0.9658536585365853,41.90475142904577,2^-4
64,0.125,0.025,0.975,0.9705882352941176,41.372425820832575,0.9658536585365853,41.5556268266087,2^-3
64,0.25,0.025,0.975,0.9705882352941176,40.9941620207461,0.9658536585365853,41.29298649979107,2^-2
64,0.5,0.025,0.975,0.9754901960784313,40.35238463162684,0.9560975609756097,40.88755547885917,2^-1
64,1.0,0.025,0.975,0.9705882352941176,39.70882643842017,0.9658536585365853,40.48850173381975,2^0
64,2.0,0.025,0.975,0.9705882352941176,39.31965601098029,0.9560975609756097,40.20920305258111,2^1
64,4.0,0.025,0.975,0.9705882352941176,39.36604411156666,0.9560975609756097,40.26645260497904,2^2
64,8.0,0.025,0.975,0.9754901960784313,38.853131915859656,0.9512195121951219,39.794026882817555,2^3
64,16.0,0.025,0.975,0.9705882352941176,38.32370644701393,0.9463414634146341,39.426877736778444,2^4
64,32.0,0.025,0.975,0.9656862745098039,38.042340357567255,0.9560975609756097,39.2063434559703,2^5
64,64.0,0.025,0.975,0.9607843137254902,37.87304871535682,0.9512195121951219,38.82910328098735,2^6
64,128.0,0.025,0.975,0.9264705882352942,36.53817530452191,0.9463414634146341,37.24588940059285,2^7
64,256.0,0.025,0.975,0.9117647058823529,34.62892983462699,0.8829268292682927,35.6675200830772,2^8
64,512.0,0.025,0.975,0.8480392156862745,31.64531537307763,0.8292682926829268,32.688811750450114,2^9
64,1024.0,0.025,0.975,0.7843137254901961,27.093409689075774,0.751219512195122,28.339115523702905,2^10
64,2048.0,0.025,0.975,0.6666666666666666,23.085879417571004,0.6195121951219512,23.728302552887634,2^11
64,4096.0,0.025,0.975,0.5490196078431373,18.819272395835263,0.5073170731707317,19.764530472220255,2^12
64,8192.0,0.025,0.975,0.4019607843137255,14.826420722510518,0.47804878048780486,16.00319343208496,2^13
64,16384.0,0.025,0.975,0.2647058823529412,10.908866600970503,0.32195121951219513,11.882633875406876,2^14
64,32768.0,0.025,0.975,0.19607843137254902,7.235050815534263,0.2146341463414634,8.145672693854493,2^15
