HH-pol,HV-pol,SM1 (%),Crop Name,label
-8.50091,-14.90316,24.3,Perl Millet,High
-6.79147,-13.40384,4.13333333333333,Fallow,Low
-11.39931,-16.95714,3.9,Fallow,Low
-10.37276,-18.10662,3.2,Fallow,Low
-12.73931,-18.60884,6.2,Fallow,Low
-13.7772,-20.55642,6.0,Fallow,Low
-13.01777,-18.87309,5.2,Fallow,Low
-12.12883,-17.83792,4.6,Fallow,Low
-10.56085,-18.90542,7.2,Perl Millet,Low
-10.87192,-17.31002,6.4,Fallow,Low
-11.11697,-17.88612,9.6,Lemon,Low
-8.47505,-17.83606,3.9,Fallow,Low
-13.27059,-18.08,9.9,Fallow,Medium
-9.52774,-15.92632,4.6,Fallow,Low
-11.35041,-18.37833,9.4,Perl Millet,Low
-11.05268,-20.60588,5.6,Perl Millet,Low
-10.55465,-18.73426,3.63333333333333,Fallow,Low
-8.04576,-16.04432,4.8,Fallow,Low
-11.49121,-14.58091,6.0,Fallow,Low
-12.41822,-19.93744,7.0,Fallow,Low
-8.47065,-18.07469,6.1,Fallow,Low
-9.38149,-15.65567,4.66666666666667,Fallow,Low
-9.76782,-19.85343,5.6,Fallow,Low
-8.08993,-20.00043,6.0,Fallow,Low
-13.25882,-19.69639,7.5,Fallow,Low
-12.57703,-18.34802,6.0,Fallow,Low
-12.42413,-21.58351,4.23333333333333,Fallow,Low
-8.81033,-16.99902,4.5,Fallow,Low
-9.55602,-20.43587,4.4,Fallow,Low
-10.88357,-19.17058,4.9,Fallow,Low
-9.89672,-18.51013,5.1,Fallow,Low
-9.94744,-19.98977,5.23333333333333,Fallow,Low
-9.73473,-17.54627,3.1,Fallow,Low
-8.39772,-18.18887,3.4,Fallow,Low
-10.90219,-20.4282,5.3,Fallow,Low
-9.06636,-20.15195,5.9,Fallow,Low
-9.98621,-19.54142,5.1,Fallow,Low
-13.52166,-18.06394,5.3,Fallow,Low
-9.53244,-21.01332,2.0,Fallow,Low
-12.92742,-18.34117,5.6,Fallow,Low
-12.30961,-18.75179,4.5,Fallow,Low
-7.23649,-17.44619,2.9,Fallow,Low
-5.30355,-16.9171,4.4,Fallow,Low
-10.80022,-20.36597,5.2,Fallow,Low
-9.4701,-20.03633,4.4,Fallow,Low
-8.81859,-20.72062,6.33333333333333,Fallow,Low
-6.31535,-14.88891,5.9,Fallow,Low
-10.88244,-17.12181,9.6,Fallow,Low
-13.55108,-17.08879,10.6,Fallow,Medium
-6.13137,-14.66002,8.4,Fallow,Low
-5.91162,-15.37017,3.0,Jowar,Low
-10.59007,-20.75805,5.2,Fallow,Low
-11.84047,-20.21469,3.6,Fallow,Low
-12.92395,-17.17836,4.0,Fallow,Low
-11.04887,-19.74615,14.3,Fallow,Medium
-10.3795,-19.64087,4.73333333333333,Fallow,Low
-10.67191,-17.0116,8.8,Fallow,Low
-11.12071,-17.89982,7.5,Fallow,Low
-6.98058,-19.11699,16.5,Fallow,Medium
-11.10559,-15.65273,5.1,Fallow,Low
-12.85345,-16.76506,5.03333333333333,Fallow,Low
-10.27833,-19.20464,10.1,Fallow,Medium
-11.12096,-18.51127,4.0,Fallow,Low
-10.82477,-17.25841,10.9,Fallow,Medium
-9.44621,-20.6972,12.1,Fallow,Medium
-8.39153,-21.29637,7.6,Jowar,Low
-11.58569,-18.73344,4.5,Fallow,Low
-11.61284,-21.14886,9.2,Fallow,Low
-10.98072,-20.57076,8.6,Fallow,Low
-11.73344,-14.9529,5.3,Fallow,Low
-12.89758,-22.37228,8.8,Fallow,Low
-11.03072,-22.94161,7.9,Fallow,Low
-9.26711,-18.83701,8.0,Fallow,Low
-9.15293,-16.9023,7.5,Fallow,Low
-9.37779,-18.77598,7.7,Fallow,Low
-10.19527,-21.27054,6.53333333333333,Fallow,Low
-13.58312,-19.5702,10.1,Fallow,Medium
-7.60856,-17.88892,7.3,Fallow,Low
-11.93629,-20.25759,5.7,Fallow,Low
-10.76908,-18.3809,10.9,Fallow,Medium
-10.11747,-17.90145,11.1666666666667,Fallow,Medium
-9.63513,-14.17819,7.2,Fallow,Low
